id,bien_so,chu_xe,nam_sx,nguyen_gia,is_test,deleted_at
VEH-000001,37H-09917,,2007,0.00,0,
VEH-000002,37H-11214,,2008,0.00,0,
VEH-000003,37H-14554,,2004,0.00,0,
VEH-000004,37H-14561,,2004,0.00,0,
VEH-000005,37V-0764,,2004,0.00,0,
VEH-000006,37C-00621,,2011,0.00,0,
VEH-000007,37C-10360,,2014,0.00,0,
VEH-000008,37C-10511,,2014,0.00,0,
VEH-000009,37C-12299,,2026,0.00,0,
VEH-000010,37C-14400,,2015,0.00,0,
VEH-000011,37C-20144,,2015,0.00,0,
VEH-000012,37C-20146,,2015,0.00,0,
VEH-000013,37C-25301,,2017,0.00,0,
VEH-000014,37C-25315,,2017,0.00,0,
VEH-000015,37H-00101,,2020,0.00,0,
VEH-000016,37H-00122,,2020,0.00,0,
VEH-000017,37H-00127,,2020,0.00,0,
VEH-000018,37H-01539,,2021,0.00,0,
VEH-000019,37H-01540,,2021,0.00,0,
VEH-000020,37H-01553,,2021,0.00,0,
VEH-000021,37H-01567,,2021,0.00,0,
VEH-000022,37H-09713,,2014,0.00,0,
VEH-000023,37H-09717,,2011,0.00,0,
VEH-000024,37H-09784,,2015,0.00,0,
VEH-000025,37H-09830,,2015,0.00,0,
VEH-000026,37H-10535,,2007,0.00,0,
VEH-000027,37H-14505,,2013,0.00,0,
VEH-000028,37H-14700,,2016,0.00,0,
VEH-000029,37H-14770,,2015,0.00,0,
VEH-000030,37H-14780,,2009,0.00,0,
VEH-000031,37H-15360,,2024,0.00,0,
VEH-000032,37H-15364,,2024,0.00,0,
VEH-000033,37H-15393,,2004,0.00,0,
VEH-000034,37H-15427,,2024,0.00,0,
VEH-000035,37H-15448,,2008,0.00,0,
VEH-000036,37H-15492,,2024,0.00,0,
VEH-000037,37H-19180,,2026,0.00,0,
VEH-000038,37H-19186,,2026,0.00,0,
VEH-000039,37H-19248,,2026,0.00,0,
VEH-000040,37C-01130,,2011,0.00,0,
VEH-000041,37H-09852,,2011,0.00,0,
VEH-000042,37H-09856,,2011,0.00,0,
